,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
1244,TCh-HUN 2019-20,Hungary HUN,2020.02.02,5.1,"Erdos,V","Rapport,R",1/2-1/2,2752,E12,2613
1245,Bundesliga 2019-20,Kiel GER,2020.02.08,5.5,"Rapport,R","Khenkin,I",1/2-1/2,2545,B10,2752
1246,Bundesliga 2019-20,Kiel GER,2020.02.09,6.5,"Rapport,R","Kempinski,R",1-0,2576,D10,2752
1247,Bundesliga 2019-20,Lingen GER,2020.02.23,8.5,"Nabaty,T","Rapport,R",0-1,2752,D02,2639
1248,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.16,1.1,"Donchenko,Alexa","Rapport,R",1/2-1/2,2760,D11,2654
1249,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.17,2.2,"Studer,N","Rapport,R",0-1,2760,D30,2573
1250,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.17,3.2,"Rapport,R","Sprenger,J",1/2-1/2,2482,A13,2760
1251,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.18,4.1,"Van Wely,L","Rapport,R",0-1,2760,D02,2615
1252,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.19,5.1,"Rapport,R","Van Foreest,Lucas",1/2-1/2,2531,A07,2760
1253,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.19,6.2,"Rapport,R","Koch,T1",1-0,2461,E11,2760
1254,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.20,7.1,"Korobov,A","Rapport,R",1/2-1/2,2760,D35,2688
1255,11th Hainan Danzhou GM,chess.com INT,2020.12.03,1.2,Ding Liren,"Rapport,R",0-1,2759,E11,2791
1256,11th Hainan Danzhou GM,chess.com INT,2020.12.03,2.3,"Rapport,R","Grischuk,A",1/2-1/2,2777,A35,2759
1257,11th Hainan Danzhou GM,chess.com INT,2020.12.04,3.3,Yu Yangyi,"Rapport,R",0-1,2759,E32,2709
1258,11th Hainan Danzhou GM,chess.com INT,2020.12.04,4.2,"Rapport,R","Giri,A",1/2-1/2,2764,D10,2759
1259,11th Hainan Danzhou GM,chess.com INT,2020.12.05,5.4,"Topalov,V","Rapport,R",1/2-1/2,2759,C67,2735
1260,11th Hainan Danzhou GM,chess.com INT,2020.12.05,6.1,Wang Hao,"Rapport,R",1/2-1/2,2759,C67,2763
1261,11th Hainan Danzhou GM,chess.com INT,2020.12.05,7.4,"Rapport,R",Wei Yi,1/2-1/2,2732,D53,2759
1262,11th Hainan Danzhou GM,chess.com INT,2020.12.07,8.2,"Rapport,R",Ding Liren,1/2-1/2,2791,A22,2759
1263,11th Hainan Danzhou GM,chess.com INT,2020.12.07,9.3,"Grischuk,A","Rapport,R",1/2-1/2,2759,C53,2777
1264,11th Hainan Danzhou GM,chess.com INT,2020.12.07,10.3,"Rapport,R",Yu Yangyi,1-0,2709,B14,2759
1265,11th Hainan Danzhou GM,chess.com INT,2020.12.08,11.2,"Giri,A","Rapport,R",1/2-1/2,2759,E17,2764
1266,11th Hainan Danzhou GM,chess.com INT,2020.12.08,12.4,"Rapport,R","Topalov,V",1-0,2735,A04,2759
1267,11th Hainan Danzhou GM,chess.com INT,2020.12.09,13.1,"Rapport,R",Wang Hao,1/2-1/2,2763,A07,2759
1268,11th Hainan Danzhou GM,chess.com INT,2020.12.09,14.4,Wei Yi,"Rapport,R",1/2-1/2,2759,C67,2732
1269,TCh-AUT 2021,Austria AUT,2021.01.22,1.1,"Shengelia,D","Rapport,R",0-1,2759,D35,2543
1270,TCh-AUT 2021,Austria AUT,2021.01.23,2.2,"Rapport,R","Markus,Rob",1-0,2592,A53,2759
1271,TCh-AUT 2021,Austria AUT,2021.01.23,3.2,"Dragnev,Valentin","Rapport,R",1/2-1/2,2759,B08,2564
1272,TCh-AUT 2021,Austria AUT,2021.01.24,4.1,"Rapport,R","Horvath,Dominik",1-0,2446,E60,2759
1273,TCh-AUT 2021,Austria AUT,2021.03.12,5.3,"Haba,P","Rapport,R",0-1,2759,C02,2439
1274,TCh-AUT 2021,Austria AUT,2021.03.14,7.3,"Rapport,R","Abasov,N",1/2-1/2,2668,B25,2759
1275,European Online CC GpA,Tornelo INT,2021.03.27,1.1,"Rapport,R","Horvath,Las1",1-0,2183,E70,2763
1276,European Online CC GpA,Tornelo INT,2021.03.27,2.5,"Rapport,R","Artemiev,V",1/2-1/2,2709,D27,2763
1277,European Online CC GpA,Tornelo INT,2021.03.27,3.2,"Deac,Bogdan-Daniel","Rapport,R",1/2-1/2,2763,C53,2625
1278,European Online CC GpA,Tornelo INT,2021.03.27,4.4,"Rapport,R","Hera,I",1-0,2610,A36,2763
1279,European Online CC GpA,Tornelo INT,2021.03.28,5.3,"Jakubowski,K","Rapport,R",0-1,2763,C48,2497
